PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
105,D,2,9,M,-29,Run,,,DOUBLES,COUNTER,,,,,ATF,CUSE,,
106,D,3,6,R,-32,Run,,,EMPTY,X DRIVE,,,,,ATF,CUSE,,
107,K,4,6,R,-32,Punt Rec,,,,,,,,,,,,
108,D,1,10,M,35,Pass,,27,DOUBLES,DRIVE SERIES,,,,,FIELD,CUSE,,
109,D,1,8,R,8,Run,,,TRIO,IZ,,,,,ATF,CUSE,,
110,D,1,3,R,3,Run,,,DOUBLES,JET SWEEP FAKE REVERSE,,,,,FIELD,CARDINAL,,
111,K,0,,M,3,FG Block,,,,,,,,,,,,
112,K,0,,L,-35,KO Rec,,,,,,,,,,,,
113,O,1,10,L,-31,Run,,0,DUCK,HOUSTON,,,,,,,,
114,O,2,10,M,-31,Pass,,0,DOUBLES,,,,,,,,,
115,D,1,10,R,10,Pass,,,TRIO,BUBBLE,,,,,FIELD,CUSE,,
116,K,,,M,,FG Block,,,,,,,,,,,,
117,K,0,,R,-35,KO Rec,,,,,,,,,,,,
118,O,1,10,M,-14,Run,,9,DOUBLES,HOUSTON,,,,,,,,
119,O,2,1,M,-23,Run,,1,DUCK,HOUSTON,,,,,,,,
120,O,1,10,L,-24,Run,,2,TRASH,DENVER,,,,,,,,
121,O,2,8,L,-26,Run,,0,TRASH,DENVER,,,,,,,,
122,O,3,8,L,-26,Pass,,24,DOUBLES,AKRON,,,,,,,,
123,O,1,10,L,50,Run,,0,TRASH,HOUSTON,,,,,,,,
124,D,1,10,M,-48,Pass,,0,RACKET,DOUBLE POST,,,,,OKIE,CUSE,,
125,D,2,10,M,-48,Run,,5,TRUCK,IZR,,,,,OKIE,HOUSTON,FALCON,
126,D,3,5,L,47,Pass,,4,TRUCK,RPO BUBBLE,,,,,OKIE,CUSE,,
127,D,4,1,R,43,Run,,,HEAVY,ISO,,,,,EAGLE,CUSE,,
128,D,1,10,R,40,Run,,3,RACKET FIB,IZ,,,,,ATF,CUSE,,
129,D,2,7,R,37,Run,,7,RACKET FIB,IZ,,,,,OKIE,CUSE,,
130,D,1,10,M,30,Pass,,5,DOUBLES,PRINCETON,,,,,ATF,CUSE,,
131,D,2,5,R,25,Pass,,1,TRIO,RPO HITCH,,,,,FIELD,TEXAS,,
132,D,3,4,M,24,Pass,,,TRIO,RB SCREEN,,,,,FIELD,CLEMSON,,
133,D,4,4,M,24,Pass,,,TRIO,DRIVE SERIES,,,,,ATF,CUSE,,
134,O,1,10,M,-24,Run,,2,DOUBLES,LA,,,,,,,,
135,O,2,8,L,-26,Run,,4,DOUBLES,HOUSTON,,,,,,,,
136,O,3,4,M,-30,Pass,,0,TRIPS,,,,,,,,,
137,K,4,4,M,-30,Punt,,,,,,,,,,,,
138,D,1,10,R,-24,Run,,6,TRAP,POWER,,,,,FIELD,CUSE,,
139,D,2,4,R,-30,Run,,3,DEUCE,OZ,,,,,FIELD,CUSE,,
140,D,3,1,R,-33,Run,,13,TREY,IZ,,,,,OKIE,TEXAS,,
141,D,1,10,M,-46,Run,,1,TRAP,IZ FOLD,,,,,ATF,CUSE,,
142,D,2,9,M,-47,Pass,,,TRAP,JOKER,,,,,FIELD,TEXAS,,
143,D,3,7,M,-49,Pass,,,DOUBLES,DRIVE SERIES A ANGLE,,,,,WOLF,CUSE,,
144,K,4,5,M,49,Punt Rec,,,,,,,,,,,,
145,O,1,10,L,-21,Run,,0,DUO,HOUSTON,,,,,,,,
146,O,2,10,L,-21,Pass,,7,DUO,,,,,,,,,
147,O,3,3,R,-28,Pass,,13,,SEAGULL,,,,,,,,
148,O,1,10,R,-41,Run,,0,DUCK,HOUSTON,,,,,,,,
149,O,2,10,M,-41,Run,,7,TRUCK,WASHINGTON,,,,,,,,4
150,O,3,3,R,-48,Run,,1,TRUCK,WASHINGTON,,,,,,,,
151,O,4,2,M,-49,,,0,,,,,,,,,,
152,O,4,2,M,-49,Pass,,6,,TOUCAN,,,,,,,,
153,O,1,10,L,45,Run,,12,TRUCK,HOUSTON,,,,,,,,
154,O,1,10,L,33,Run,,12,,XEROX,,,,,,,,
155,O,1,10,L,21,Run,,3,,XEROX,,,,,,,,
156,O,2,7,L,18,Run,,6,,NAIL,,,,,,,,
157,O,3,1,L,12,Run,,0,,BROOM,,,,,,,,
158,O,4,1,L,12,Run,,-1,DUO,NY,,,,,,,,
159,D,1,10,L,-13,Run,,-5,TWINS,POWER,,,,,FIELD,CUSE,,
