PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
205,S,,,,,,,,,,,,,,,,,
206,D,2,6,M,48,Pass,,-3,TRAP,BUBBLE,,,,,OKIE,CHECK,,
207,S,,,,,,,,,,,,,,,,,
208,D,3,9,R,-39,Pass,,14,DOUBLES,VIRGINIA,,,,,TANK,CUSE,,
209,S,,,,,,,,,,,,,,,,,
210,D,1,10,L,37,Pass,,36,TWINS,BUBBLE GAS,,,,,EAGLE,CUSE,,3
211,S,,,,,,,,,,,,,,,,,
212,D,1,1,R,1,Run,,1,DUO,QB COUNTER,,,,,EAGLE,CUSE,,
213,S,,,,,,,,,,,,,,,,,
214,K,,,,,FG Block,,,,,,,,,,,,
215,S,,,,,,,,,,,,,,,,,
216,K,,,,,KO Rec,,,,,,,,,,,,
217,S,,,,,,,,,,,,,,,,,
218,O,1,10,M,-27,Run,,0,TRASH,DENVER,,,,,,,,
219,S,,,,,,,,,,,,,,,,,
220,O,2,10,M,-27,Pass,,7,TRIO,,,,,,,,,
221,S,,,,,,,,,,,,,,,,,
222,O,3,3,R,-34,Pass,,4,,FLAMINGO,,,,,,,,
223,S,,,,,,,,,,,,,,,,,
224,O,1,10,L,-38,Run,,4,TRUCK,HOUSTON,,,,,,,,
225,S,,,,,,,,,,,,,,,,,
226,O,2,6,L,-42,Pass,,-5,,SEAGULL,,,,,,,,
227,S,,,,,,,,,,,,,,,,,
228,O,3,11,L,-37,Pass,,7,TRIO,NASA,,,,,,,,
229,S,,,,,,,,,,,,,,,,,
230,K,4,4,L,-44,Punt,,,,,,,,,,,,
231,S,,,,,,,,,,,,,,,,,
232,D,1,10,R,-15,Run,,2,TITAN FIB,QB POWER,,,,,EAGLE,CUSE,,
233,S,,,,,,,,,,,,,,,,,
234,D,2,8,R,-17,Pass,,0,TREY,Y POP PASS,,,,,,HOUSTON,BEAR,
235,S,,,,,,,,,,,,,,,,,
236,D,3,8,R,-17,Pass,,13,DOUBLES,VIRGINIA,,,,,WOLF,CUSE SHARK,,
237,S,,,,,,,,,,,,,,,,,
