PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
107,D,3,3,M,-22,Pass,,0,EMPTY,JOKER,,,,,,,,
108,K,4,3,,-22,Punt,,,,,,,,,,,,
109,O,1,10,,-42,Pass,,-4,TRUCK,BUBBLE,,,,,OKIE,HOUSTON,FALCON,
110,O,2,14,,-38,Run,,4,TRUCK,SPLIT ZONE,,,,,OKIE,CLEMSON,,
111,O,3,10,,-42,Pass,,,DOUBLES,DRIVE SERIES,,,,,WOLF,CUSE,,
112,K,4,10,,-42,Punt Rec,,,,,,,,,,,,
113,D,1,10,,-32,Pass,,7,DOUBLES,,,,,,,,,
114,D,2,3,R,-39,Run,,6,,HAMMER,,,,,,,,
115,D,1,10,R,-45,Run,,1,,LADDER,,,,,,,,
116,D,2,9,,-46,Pass,,6,TRIO,,,,,,,,,
117,D,3,3,L,48,Pass,,15,,FLAMINGO,,,,,,,,
118,D,1,10,,33,Run,,-3,DOUBLES,DETROIT,,,,,,,,
119,D,2,13,,36,Run,,9,TRUCK,HOUSTON,,,,,,,,
120,D,3,4,,27,Run,,2,TRUCK,HOUSTON,,,,,,,,
121,D,4,2,,25,Run,,3,TRASH,DENVER,,,,,,,,
122,D,1,10,,23,Pass,,16,DOUBLES,,,,,,,,,
123,D,1,7,R,7,Run,,0,,HAMMER,,,,,,,,
124,D,2,7,,7,Pass,,0,DOUBLES,,,,,,,,,
125,D,3,7,,7,Pass,,0,TRIO,,,,,,,,,
126,K,4,7,,7,FG,,,,,,,,,,,,
127,K,,,,-35,KO,,,,,,,,,,,,
128,O,1,10,,-35,Pass,,0,DUCK,FLORIDA Z POST,,,,,OKIE,CLEMSON,ATF,
129,O,2,10,,-35,Run,,-1,TRIO,IZR,,,,,OKIE,CLEMSON,,
130,O,3,11,,-34,Pass,,,DOUBLES,SWITCH,,,,,WOLF,CUSE,,
131,K,4,22,,-23,Punt Rec,,,,,,,,,,,,
132,D,1,10,,-25,Pass,,-9,DOUBLES,NASA,,,,,,,,
133,D,2,19,,-16,Run,,1,DUCK,HOUSTON,,,,,,,,
134,D,3,18,M,-17,Pass,,7,EMPTY,NASA,,,,,,,,
135,K,4,10,,-25,Punt,,,,,,,,,,,,4
136,O,1,10,,-30,Run,,-5,DOUBLES,JET SWEEP,,,,,FIELD,CUSE,,
137,O,2,15,,-25,Pass,,2,EMPTY,DARTMOUTH PRINCETON,,,,,WOLF,FLORIDA IN,,
138,O,3,13,,-27,Run,,,TRIO,DRAW,,,,,OKIE,HOUSTON,FALCON,
139,K,4,15,,-25,Punt Rec,,,,,,,,,,,,
140,D,1,10,,-42,Pass,,0,DOUBLES,,,,,,,,,
141,D,2,10,,-42,Run,,3,TRIO,NEW ENGLAND,,,,,,,,
142,D,3,7,,-45,Pass,,8,DOUBLES,,,,,,,,,
143,D,1,10,,47,Pass,,-10,DUCK,,,,,,,,,
144,D,1,20,,-43,Pass,,5,TRIO,JOKER,,,,,,,,
145,D,2,15,L,-48,Pass,,-5,,SEAGULL,,,,,,,,
146,D,3,20,,-43,Pass,,6,DOUBLES,,,,,,,,,
147,K,4,14,,-49,Punt,,,,,,,,,,,,
148,O,1,10,,-19,Run,,-10,TRUCK,OZ,,,,,OKIE,CUSE,,
